text,label
"Movie bahut achhi thi, I loved it",positive
"Mujhe ye film bilkul pasand nahi aayi",negative
"The service achha tha and staff was friendly",positive
"Product kharab hai, I would not buy it again",negative
"Aaj ka experience bahut accha raha",positive
"This app bakwas hai and very slow",negative
"Music was amazing, gaane bahut sundar the",positive
"Quality bahut poor hai, totally disappointed",negative
"The lecture was interesting aur easy to understand",positive
"Interface confusing hai and kaam nahi karta",negative
"Food tasty tha and presentation bhi nice thi",positive
"Delivery late thi and packaging damaged thi",negative
"I enjoyed the movie, story bhi engaging thi",positive
"Support response bahut slow tha",negative
"Course content useful hai and examples clear hain",positive
"Experience boring tha, kuch bhi useful nahi laga",negative
